0.4079,2.5723
0.1473,2.0831
0.2977,2.6409
0.3824,2.7731
0.2152,2.0158
0.6065,3.4794
0.3040,2.2122
0.4514,2.7058
0.8986,5.3338
0.0859,2.1282
0.4828,2.9171
0.9978,5.8698
0.1903,2.4284
0.8355,4.3616
0.6950,3.4318
0.0830,1.7939
0.7410,4.2475
0.6443,3.6429
0.1950,1.9050
0.8074,4.4038
0.8192,4.5861
0.6510,3.3091
0.5333,3.3328
0.9220,5.1675
0.2203,2.1123
0.5582,3.4785
0.3190,2.2391
0.0004,1.8876
0.8739,5.0426
0.6293,3.7195
0.5183,3.1832
0.2005,2.2373
0.6367,3.7348
0.6820,3.8033
0.7147,3.9333
0.2894,2.9089
0.3210,2.6145
0.1367,2.3713
0.5549,2.8884
0.8262,5.2521
